mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target_mood
0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6
6.25,-0.25,0.75,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0.08154761904761905,2275.9440002441406,1.0,3.0,248.979,2168.229,350.856,0,0,0,11.345,807.731,0,45.173,21.073999999999998,0,6
6.2,0.2,0.2,0.08154761904761905,2275.9440002441406,1.0,1.0,248.979,2168.229,350.856,49.544,0,172.20600000000002,11.345,807.731,915.4450000000002,45.173,21.073999999999998,0,6
6.2,0.2,0.2,0.08154761904761905,2275.9440002441406,1.0,2.0,248.979,2168.229,350.856,49.544,0,172.20600000000002,11.345,807.731,915.4450000000002,45.173,21.073999999999998,0,7
6.2,0.2,0.2,0.08154761904761905,2275.9440002441406,1.0,1.0,248.979,2168.229,350.856,49.544,0,172.20600000000002,11.345,807.731,915.4450000000002,45.173,21.073999999999998,30.386,6
6.2,0.2,0.2,0.08154761904761905,2275.9440002441406,1.0,1.0,248.979,2168.229,350.856,49.544,0,172.20600000000002,11.345,807.731,915.4450000000002,45.173,21.073999999999998,30.386,7
6.2,0.2,0.2,0.13405010398938863,17978.907000064843,6.0,1.0,3139.218,6280.889999999999,1007.4560000000001,49.544,0,172.20600000000002,239.751,4508.500000000001,915.4450000000002,235.223,598.754,30.386,7
6.4,0.6,0.5,0.23688021923995814,6142.160999536513,3.0,1.0,731.4290000000002,4962.918,93.324,21.076,0,3.01,98.14300000000001,439.6319999999999,37.305,235.223,117.62100000000001,30.386,7
6.8,0.2,0.8,0.14274111580506368,6773.832001447676,10.0,1.0,1286.2459999999999,5237.319,94.346,43.403000000000006,0,3.01,72.82300000000001,900.8389999999999,419.805,235.223,30.086,30.386,6
6.0,0.8,0.0,0.07896105611559796,15047.351000547405,10.0,1.0,866.9559999999999,9270.629,976.971,34.106,233.036,3.01,66.55799999999999,3223.6259999999997,419.805,235.223,178.732,0,8
6.75,0.5,0.5,0.0983741123905068,21475.35499906539,2.0,1.0,1032.768,10276.751,68.206,43.053999999999995,233.036,182.45100000000002,178.819,1919.471,47.314,235.223,222.893,0,8
6.6,-0.2,0.6,0.10130832167007592,16423.80100035667,2.0,1.0,1167.497,8988.752999999999,910.479,52.331,233.036,182.45100000000002,97.49799999999999,4592.059,47.314,66.477,33.365,0,7
7.0,0.2,0.8,0.15951064096909748,17442.14999938011,2.0,1.0,1229.327,6936.512,639.3389999999999,42.218999999999994,233.036,182.45100000000002,58.532000000000004,935.381,47.314,66.477,179.02899999999997,0,6
6.4,-0.6,0.6,0.09569802163712014,4923.488999605181,5.0,1.0,10062.595,866.8330000000001,1005.403,89.16600000000001,233.036,92.388,225.951,512.741,1133.0089999999998,66.477,301.717,0,6
8.0,0.2,1.0,0.06820281010186964,8322.6219997406,4.0,1.0,1952.6299999999999,2720.692,1627.429,41.255,51.176,92.388,169.594,472.88800000000003,52.435,66.477,600.637,0,6
7.5,-0.5,0.75,0.049092970521542004,4523.2140009403265,6.0,0.0,414.36500000000007,1298.505,1535.6770000000001,41.255,51.176,92.388,74.003,167.685,183.381,66.477,38.296,0,6
7.4,0.0,0.6,0.07050548088338955,11836.834000349041,6.0,1.0,2961.4049999999997,5332.637000000001,1758.92,41.255,51.176,92.388,268.55400000000003,1350.655,183.381,29.29,210.305,0,7
6.0,0.2,0.0,0.118443242712736,17173.906002044678,1.0,1.0,1385.517,6095.526,1030.637,547.8259999999999,234.741,92.388,121.19,5040.067000000001,1614.6209999999999,0,517.636,0,6
6.5,0.3333333333333333,0.6666666666666666,0.10191661063822348,21358.510999917988,4.0,1.0,3614.349,6920.155999999999,1343.376,247.77700000000002,114.406,90.481,541.541,3428.792,19.082,0,341.371,0,6
6.4,-1.2,0.0,0.04923847270844107,21401.835000753403,4.0,1.0,2321.464,14438.081999999999,1293.6309999999999,76.234,114.406,17.107,213.90200000000002,3154.241,19.082,0,182.77200000000002,0,7
6.2,0.2,0.4,0.12668931120732582,12379.411000013357,2.0,1.0,1957.8290000000002,5481.628,1545.227,46.128,114.406,17.107,176.80100000000002,2086.197,158.24099999999999,0,128.692,0,7
6.8,-0.4,0.6,0.1190023022034455,3340.4309999942784,4.0,0.0,15159.189999999999,1885.409,76.369,46.128,114.406,17.107,81.133,363.20799999999997,187.94500000000002,0,118.956,0,7
6.5,-0.75,0.5,0.06440779944246813,7467.321999788283,4.0,0.0,4548.662,3355.743,187.214,46.128,114.406,17.107,119.12,321.46,60.247,0,46.249,0,7
6.5,-0.6666666666666666,0.25,0.050670621174317886,9846.380999803541,1.0,0.0,927.377,7355.014999999999,447.12100000000004,46.128,1.059,17.107,170.348,1475.418,60.247,0,205.81100000000004,0,7
6.6,-0.4,0.3333333333333333,0.0753270582613485,15101.13200187683,1.0,0.0,892.6890000000001,9477.553,3466.4790000000003,19.131,1.059,23.195,209.51399999999995,2655.121,34.234,0,36.143,0,8
7.4,-0.8,1.0,0.12038411453232876,13558.28900098801,4.0,0.0,1638.6170000000002,6177.076,940.7699999999999,94.093,1.059,23.195,346.654,2826.3500000000004,34.234,0,577.359,0,7
